Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC01376	89.147	108.3694	4.2307	18.72949	11.35557	5.02
LINC01378	14.15988	4.0702300000000005	7.01	33.01	1.25634	1.01
LINC01389	17.4869	19.4376	7.01	10.0657	9.01	1.0114
LINC01393	22.0254	3.01988	13.01	11.5472	2.01	1.01
LINC01405	11.02	31.4817	1.01	6.01	2.01	1.01
LINC01410	892.9775800000001	624.159	447.7276	566.6283	288.88311	325.4794
LINC01411	17.2242	17.3796	10.6377	11.6727	1.0747799999999998	3.21295
LINC01419	6.897480000000001	6.9286	2.58643	15.0047	3.12805	3.0823400000000003
LINC01420	1587.48	2198.2470000000003	1680.25	2729.0345	917.1788	1078.062
LINC01422	174.922	174.78189	54.86600000000001	99.66705	7.80082	30.8733
LINC01424	139.704	102.906	51.8701	52.6557	4.0967400000000005	16.3475
LINC01427	272.49724	250.93627999999998	158.32249	271.915	44.6527	51.0014
LINC01429	5.64045	9.30193	35.4227	27.0375	8.70386	13.2984
LINC01431	96.03471	63.05245	42.02	100.02991999999999	2.01	2.01
LINC01432	22.6002	52.0235	30.01	75.7795	2.01	3.01
LINC01435	32.3131	39.8217	28.615	38.9864	6.20205	20.064
LINC01441	16.486	16.1164	8.17601	27.0592	8.81454	1.09785
LINC01442	42.45434	39.90574	24.713	30.1734	10.3135	11.0333
LINC01446	18.6665	9.09126	20.01	14.6099	1.01	2.17409
LINC01447	61.1163	154.232	11.1418	17.2037	1.13259	11.0998
LINC01448	29.7857	23.4063	20.7351	20.6854	5.66867	12.4629
LINC01449	6.05133	9.94537	4.4358900000000006	7.5328100000000004	4.67811	2.9942900000000003
LINC01460	18.4436	11.9859	20.7204	9.40483	2.01242	6.15097
LINC01465	37.3537	30.01	21.01	14.01	10.01	6.01
LINC01470	28.9497	10.0494	16.6841	57.1044	3.5575900000000003	4.1833
LINC01477	1.01601	15.0502	2.01352	3.0169	5.024369999999999	10.6585
LINC01480	4107.121	741.962	5239.145	7225.715999999999	19.02165	12.964360000000001
LINC01481	525.1338	366.1475	295.9791	275.86694	33.26076	47.528859999999995
LINC01482	61.7231	37.7233	32.840109999999996	39.67688	14.7614	15.276679999999999
LINC01483	55.5219	63.0694	22.8609	51.0541	15.3294	22.8005
LINC01484	395.94599999999997	390.5131	355.0585	933.1986	119.2652	140.56441
LINC01492	14.7861	20.8167	19.3476	19.0493	6.39723	3.72062
LINC01502	23.6481	22.6344	34.6984	298.1554	2.0246	4.4132
LINC01503	23.89023	227.3763	29.0977	26.9156	273.77457000000004	388.19581
LINC01514	9.69656	5.125	7.28402	8.13247	2.01588	6.83564
LINC01515	115.00974	106.58661000000001	53.66714	89.30884	6.18971	12.28169
LINC01516	5.37921	1.0626799999999998	1.01676	13.8818	1.01007	2.01039
LINC01518	63.8103	34.8861	1.01	1.01078	1.01	2.18178
LINC01521	231.764	247.18900000000002	115.691	106.339	117.439	117.354
LINC01524	90.7057	97.385	80.987	100.262	13.5732	29.4964
LINC01527	37.01	18.3698	59.8666	105.01	7.01	5.20654
LINC01531	1315.7227	907.1655300000001	59.526	67.49797	14.0108	37.69274
LINC01534	186.1057	137.066	70.09042	155.03002	60.02998	51.029959999999996
LINC01537	148.69	76.4939	24.7236	73.1638	5.617369999999999	15.3713
LINC01544	47.3241	42.8399	53.1363	52.2428	10.1964	3.5608800000000005
LINC01547	1408.479	1469.374	98.1717	102.5073	84.9495	63.6274
LINC01549	13.7795	4.122669999999999	10.9113	5.702369999999999	3.55875	7.11423
